"Player","Rating","CurrentTarget"
"Ruba d6d4","556","7"
"int mint","556","7"
"Crout0n","550","7"
"pen","531","6"
"edamame3tubu","522","6"
"しまこん","500","6"
"kuu00","488","6"
"shishamoon","468","6"
"あらたつ","452","5"
"つかぽん","452","5"
"gogokichi","449","5"
"あいせ_KZK","442","5"
"Don Matty","441","5"
"音痴 onti","424","5"
"真白ゆう。","422","5"
"eijis","413","5"
"なお","413","5"
"トリプルセブン","399","5"
"紫藤テリア","385","5"
"Worly_Street","370","4"
"keitti","365","4"
"フラグ神ユーメル","360","4"
"takotyann","359","4"
"しそ","354","4"
"konachi-","340","4"
"Tororo_torotto","317","4"
"Azami_Neko","315","4"
"リココ_VRC","286","4"
"ひとっぴ","281","4"
"やまだはるか","247","3"
"オリバー","233","3"
"Seia_TelluriuM","213","3"
"めるりな","207","3"
"片桐ネロ","200","3"
